# reference/golden_matrix.txt -- generated by tools/generate_golden_matrix.cpp
# Regenerate deliberately and review the diff: a change here is a change in
# what the engine considers the same state or the same event.
#
# case state_mode event_mode quotient steps states events causal pairs branchial fingerprint provenance
binary-growth None None 0 3 10 9 8 8 0 9947142222970192963 oracle
binary-growth None Automatic 0 3 10 8 8 8 0 18330223787255875304 oracle
binary-growth None Full 0 3 10 5 8 8 0 18330223787255875304 oracle
binary-growth Automatic None 0 3 10 9 8 8 0 9947142222970192963 oracle
binary-growth Automatic Automatic 0 3 10 8 8 8 0 18330223787255875304 oracle
binary-growth Automatic Full 0 3 10 5 8 8 0 18330223787255875304 oracle
binary-growth Full None 0 3 6 9 8 8 0 18330223787255875304 oracle
binary-growth Full None 1 3 6 6 4 4 0 12569779316599595557 pin
binary-growth Full Automatic 0 3 6 8 8 8 0 18330223787255875304 oracle
binary-growth Full Automatic 1 3 6 6 4 4 0 12569779316599595557 pin
binary-growth Full Full 0 3 6 5 8 8 0 18330223787255875304 oracle
binary-growth Full Full 1 3 6 5 4 4 0 12569779316599595557 pin
wolfram-2to4 None None 0 2 7 6 8 4 3 4447044635512583729 oracle
wolfram-2to4 None Automatic 0 2 7 4 8 4 3 9280345749812301804 oracle
wolfram-2to4 None Full 0 2 7 3 8 4 3 9280345749812301804 oracle
wolfram-2to4 Automatic None 0 2 7 6 8 4 3 4447044635512583729 oracle
wolfram-2to4 Automatic Automatic 0 2 7 4 8 4 3 9280345749812301804 oracle
wolfram-2to4 Automatic Full 0 2 7 3 8 4 3 9280345749812301804 oracle
wolfram-2to4 Full None 0 2 4 6 8 4 3 9280345749812301804 oracle
wolfram-2to4 Full None 1 2 4 4 2 2 2 7499537985189875292 pin
wolfram-2to4 Full Automatic 0 2 4 4 8 4 3 9280345749812301804 oracle
wolfram-2to4 Full Automatic 1 2 4 4 2 2 2 7499537985189875292 pin
wolfram-2to4 Full Full 0 2 4 3 8 4 3 9280345749812301804 oracle
wolfram-2to4 Full Full 1 2 4 3 2 2 2 7499537985189875292 pin
triangle None None 0 2 5 4 6 3 3 9232122985469749172 oracle
triangle None Automatic 0 2 5 4 6 3 3 3713397519764610285 oracle
triangle None Full 0 2 5 2 6 3 3 3713397519764610285 oracle
triangle Automatic None 0 2 5 4 6 3 3 9232122985469749172 oracle
triangle Automatic Automatic 0 2 5 4 6 3 3 3713397519764610285 oracle
triangle Automatic Full 0 2 5 2 6 3 3 3713397519764610285 oracle
triangle Full None 0 2 3 4 6 3 3 3713397519764610285 oracle
triangle Full None 1 2 3 4 1 1 3 3713397519764610285 pin
triangle Full Automatic 0 2 3 4 6 3 3 3713397519764610285 oracle
triangle Full Automatic 1 2 3 4 1 1 3 3713397519764610285 pin
triangle Full Full 0 2 3 2 6 3 3 3713397519764610285 oracle
triangle Full Full 1 2 3 2 1 1 3 3713397519764610285 pin
reductive-2to1 None None 0 3 16 15 12 12 5 13058200307010653496 oracle
reductive-2to1 None Automatic 0 3 16 6 12 12 5 8490816338431386792 oracle
reductive-2to1 None Full 0 3 16 3 12 12 5 8490816338431386792 oracle
reductive-2to1 Automatic None 0 3 9 15 12 12 5 13058200307010653496 oracle
reductive-2to1 Automatic Automatic 0 3 9 6 12 12 5 8490816338431386792 oracle
reductive-2to1 Automatic Full 0 3 9 3 12 12 5 8490816338431386792 oracle
reductive-2to1 Full None 0 3 4 15 12 12 5 8490816338431386792 oracle
reductive-2to1 Full None 1 3 4 6 8 8 3 8223838566366874852 pin
reductive-2to1 Full Automatic 0 3 4 6 12 12 5 8490816338431386792 oracle
reductive-2to1 Full Automatic 1 3 4 6 8 8 3 8223838566366874852 pin
reductive-2to1 Full Full 0 3 4 3 12 12 5 8490816338431386792 oracle
reductive-2to1 Full Full 1 3 4 3 3 3 3 8223838566366874852 pin
idempotent-2to2 None None 0 3 4 3 4 2 0 3887312406197430460 oracle
idempotent-2to2 None Automatic 0 3 4 1 4 2 0 13501572333087976 oracle
idempotent-2to2 None Full 0 3 4 1 4 2 0 13501572333087976 oracle
idempotent-2to2 Automatic None 0 3 2 3 4 2 0 3887312406197430460 oracle
idempotent-2to2 Automatic Automatic 0 3 2 1 4 2 0 13501572333087976 oracle
idempotent-2to2 Automatic Full 0 3 2 1 4 2 0 13501572333087976 oracle
idempotent-2to2 Full None 0 3 1 3 4 2 0 13501572333087976 oracle
idempotent-2to2 Full None 1 3 1 1 1 1 0 9230122823021319796 pin
idempotent-2to2 Full Automatic 0 3 1 1 4 2 0 13501572333087976 oracle
idempotent-2to2 Full Automatic 1 3 1 1 1 1 0 9230122823021319796 pin
idempotent-2to2 Full Full 0 3 1 1 4 2 0 13501572333087976 oracle
idempotent-2to2 Full Full 1 3 1 1 1 1 0 9230122823021319796 pin
self-loop None None 0 3 2 1 0 0 0 17509069762400116423 oracle
self-loop None Automatic 0 3 2 1 0 0 0 868669380581791950 oracle
self-loop None Full 0 3 2 1 0 0 0 868669380581791950 oracle
self-loop Automatic None 0 3 2 1 0 0 0 17509069762400116423 oracle
self-loop Automatic Automatic 0 3 2 1 0 0 0 868669380581791950 oracle
self-loop Automatic Full 0 3 2 1 0 0 0 868669380581791950 oracle
